hpRemaining: 22.7 (3.0568684048294332)
monstersKilled: 2.0 (0.0)
treasuresCollected: 0.2 (0.42163702135578396)
potionsDrunk: 0.2 (0.42163702135578396)
actionsTaken: 23.5 (2.273030282830976)
tilesExplored: 22.7 (1.0593499054713802)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;24.0;18.0;29.0;24.0;19.0;22.0;21.0;23.0;24.0;23.0;
monstersKilled;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
treasuresCollected;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;
potionsDrunk;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;26.0;24.0;25.0;23.0;28.0;23.0;22.0;21.0;21.0;22.0;
tilesExplored;24.0;22.0;23.0;22.0;25.0;23.0;22.0;22.0;22.0;22.0;

