hpRemaining: 22.0 (4.83045891539648)
monstersKilled: 2.0 (0.0)
treasuresCollected: 0.2 (0.42163702135578396)
potionsDrunk: 0.0 (0.0)
actionsTaken: 15.5 (1.509230856356236)
tilesExplored: 15.3 (0.6749485577105528)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;26.0;15.0;23.0;26.0;19.0;25.0;25.0;28.0;18.0;15.0;
monstersKilled;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
treasuresCollected;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;16.0;16.0;19.0;15.0;15.0;14.0;14.0;16.0;14.0;16.0;
tilesExplored;15.0;16.0;15.0;15.0;15.0;15.0;15.0;15.0;15.0;17.0;

